edge;connections
1;2,3,6
2;1,3,4
3;1,2,6,9,5,10
6;1,3,9,7
4;2,5,15,13
9;3,6,7
5;3,4,10,13,14
7;6,9,10,8
10;7,3,5
11;10,5,13,14,34
15;4,17,14
17;15,16,53,55
16;15,14,13,50,51
14;16,15,5,11,34,35,18
13;16,4,5,11
34;14,11,37,40,36,32,35
37;10,34,38,36,19
40;34,8,38
8;7,40,38,19
38;8,40,37,36,19
19;8,37,38,20,21,0
36;38,37,34,31,32
20;19,21,22,31
21;19,23,0
23;21,24,22,0
24;23,22,25
22;24,23,20,27,28,30
25;24,27,26
27;25,26,28,22
26;25,27,28
28;27,26,22,41,30
30;22,31,32,45,28,44,41
41;28,30,42,43,44
31;20,36,30,45
32;36,34,35,30,45
35;14,34,32,18,45
18;14,50
50;18,16,52
45;32,31,30,46,44,35
46;45,47,44
44;45,30,46,41,43
47;46,43,43,48,51
42;41,43
43;41,47,42,47,44,51
52;50,48,51
48;52,47
51;47,52,53,54,43,16
53;51,17,54
54;51,55,53
55;54,17
0;19,21,23
